               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12603,            0.012351,            0.077114,                   0,                   0,                   0,                   0,             0.12767,           0.0089586,            0.069454,              0.0973,              0.0003,              0.0003
                   1,             0.12592,             0.01144,            0.075057,          0.00073099,            0.033333,           0.0049852,          0.00099704,             0.12483,           0.0094008,            0.067998,            0.093697,          0.00069723,          0.00069723
                   2,             0.11823,            0.013052,            0.071283,           0.0014184,            0.066667,           0.0090498,           0.0017839,             0.12167,           0.0098762,            0.066711,            0.090091,           0.0010913,           0.0010913
                   3,             0.11316,            0.012435,            0.069015,           0.0017655,                 0.1,           0.0011907,          0.00018792,             0.11681,            0.010307,            0.065154,            0.086482,           0.0014822,           0.0014822
                   4,             0.10716,            0.016339,            0.067143,           0.0018409,             0.13333,           0.0033772,          0.00033772,             0.11162,            0.011104,            0.062942,             0.08287,           0.0018699,           0.0018699
                   5,            0.097757,            0.015457,            0.062476,            0.006593,             0.43333,           0.0053817,           0.0013729,             0.10125,            0.012612,            0.060229,            0.079254,           0.0022545,           0.0022545
                   6,             0.10214,            0.019011,            0.059525,           0.0081595,             0.53333,            0.011637,           0.0030523,            0.093248,            0.013956,            0.057072,            0.075636,           0.0026358,           0.0026358
                   7,             0.09203,            0.016076,            0.055126,           0.0079505,                 0.6,            0.010793,           0.0029594,            0.092341,            0.014112,             0.05507,            0.072014,           0.0030141,           0.0030141
                   8,            0.093887,            0.018748,            0.052617,           0.0086995,             0.83333,             0.02819,           0.0060511,            0.088934,            0.014685,            0.050807,            0.068389,           0.0033891,           0.0033891
                   9,            0.094871,            0.018664,            0.049458,           0.0081494,                 0.9,            0.030225,           0.0071875,            0.091633,            0.014285,            0.044536,            0.064761,            0.003761,            0.003761
                  10,            0.098234,            0.019315,             0.04406,           0.0076999,             0.86667,             0.14612,            0.049132,            0.076571,            0.016107,            0.042068,             0.06113,           0.0041297,           0.0041297
